BaliseA,LatA,LongA,CommuneA,AdresseA,BaliseB,LatB,LongB,CommuneB,AdresseB,Temps de parcours A>B (en min),Temps de parcours B>A (en min)
Hôtel de Ville,49.760236,4.718776,CHARLEVILLE-MEZIERES,"73 Place de l'Hôtel de ville, 08000 Charleville-Mézières, France",Ronde Couture,49.748122,4.720491,CHARLEVILLE-MEZIERES,"8 Rue des Mésanges, 08000 Charleville-Mézières, France",8,8
Hôtel de Ville,49.760237,4.718777,CHARLEVILLE-MEZIERES,"73 Place de l'Hôtel de ville, 08000 Charleville-Mézières, France",Gare de Mohon,49.752726,4.733241,CHARLEVILLE-MEZIERES,"Gare de Mohon, 08000 Charleville-Mézières, France",8,9
Hôtel de Ville,49.760238,4.718778,CHARLEVILLE-MEZIERES,"73 Place de l'Hôtel de ville, 08000 Charleville-Mézières, France",Romery,49.751174,4.768733,SAINT-LAURENT,"Romery, 08090 Saint-Laurent, France",17,17
Hôtel de Ville,49.760239,4.718779,CHARLEVILLE-MEZIERES,"73 Place de l'Hôtel de ville, 08000 Charleville-Mézières, France",Le Theux,49.760252,4.739774,CHARLEVILLE-MEZIERES,"86 Rue de Berthaucourt, 08000 Charleville-Mézières, France",12,8
Hôtel de Ville,49.760240,4.718780,CHARLEVILLE-MEZIERES,"73 Place de l'Hôtel de ville, 08000 Charleville-Mézières, France",Pont D58,49.7747,4.735955,CHARLEVILLE-MEZIERES,"39 Rue de Castrice, 08000 Charleville-Mézières, France",12,12
Bd Gambetta,49.773683,4.705108,CHARLEVILLE-MEZIERES,"167 Avenue Charles de Gaulle, 08000 Charleville-Mézières, France",N43,49.778295,4.695448,WARCQ,"34 Boulevard Lucien Pierquin, 08000 Warcq, France",3,3
Parc du Mont Olympe,49.780442,4.720269,CHARLEVILLE-MEZIERES,"Rue des Pâquis, Charleville-Mézières, France",Montcy-Saint-Pierre,49.78104,4.728931,CHARLEVILLE-MEZIERES,"2 Rue des Chalets, 08000 Charleville-Mézières, France",3,3
Montcy-Saint-Pierre,49.78104,4.728931,CHARLEVILLE-MEZIERES,"2 Rue des Chalets, 08000 Charleville-Mézières, France",Pont D58,49.7747,4.735955,CHARLEVILLE-MEZIERES,"39 Rue de Castrice, 08000 Charleville-Mézières, France",4,4
Montcy-Saint-Pierre,49.78105,4.728932,CHARLEVILLE-MEZIERES,"2 Rue des Chalets, 08000 Charleville-Mézières, France",Mairie de Montcy-Notre-Dame,49.773881,4.742638,MONTCY-NOTRE-DAME,"11 Place J B Clément, 08090 Montcy-Notre-Dame, France",6,6
Pont D58,49.7747,4.735955,CHARLEVILLE-MEZIERES,"39 Rue de Castrice, 08000 Charleville-Mézières, France",Mairie de Montcy-Notre-Dame,49.773881,4.742638,MONTCY-NOTRE-DAME,"11 Place J B Clément, 08090 Montcy-Notre-Dame, France",2,2
Pont D58,49.7748,4.735956,CHARLEVILLE-MEZIERES,"39 Rue de Castrice, 08000 Charleville-Mézières, France",Aiglemont,49.781557,4.765989,AIGLEMONT,"1 Rue Charles de Gaulle, 08090 Aiglemont, France",18,9
Pont D58,49.7749,4.735957,CHARLEVILLE-MEZIERES,"39 Rue de Castrice, 08000 Charleville-Mézières, France",Le Theux,49.760252,4.739774,CHARLEVILLE-MEZIERES,"86 Rue de Berthaucourt, 08000 Charleville-Mézières, France",12,9
Parc Collignon,49.783363,4.710687,CHARLEVILLE-MEZIERES,"Parc Collignon, Charleville-Mézières, France",N43,49.778295,4.695448,WARCQ,"34 Boulevard Lucien Pierquin, 08000 Warcq, France",7,7
Parc Collignon,49.783364,4.710688,CHARLEVILLE-MEZIERES,"Parc Collignon, Charleville-Mézières, France",Etion,49.785662 ,4.695429,CHARLEVILLE-MEZIERES,"207 Rue d'Etion, 08000 Charleville-Mézières, France",6,6
Parc Collignon,49.783365,4.710689,CHARLEVILLE-MEZIERES,"Parc Collignon, Charleville-Mézières, France",La Havetière,49.797853 ,4.712416,CHARLEVILLE-MEZIERES,"Horizon, 08000 Charleville-Mézières, France",10,6
Parc Collignon,49.783366,4.710690,CHARLEVILLE-MEZIERES,"Parc Collignon, Charleville-Mézières, France",Bel-Air,49.786522,4.721889,CHARLEVILLE-MEZIERES,"2 Rue Pierre Hallali, 08000 Charleville-Mézières, France",7,7
Bel-Air,49.786522,4.721889,CHARLEVILLE-MEZIERES,"2 Rue Pierre Hallali, 08000 Charleville-Mézières, France",La Havetière,49.797853 ,4.712416,CHARLEVILLE-MEZIERES,"Horizon, 08000 Charleville-Mézières, France",10,8
Bel-Air,49.786523,4.721890,CHARLEVILLE-MEZIERES,"2 Rue Pierre Hallali, 08000 Charleville-Mézières, France",La Culbute,49.792613 ,4.726385,CHARLEVILLE-MEZIERES,"Clouet, 08000 Charleville-Mézières, France",4,3
Bel-Air,49.786524,4.721891,CHARLEVILLE-MEZIERES,"2 Rue Pierre Hallali, 08000 Charleville-Mézières, France",Pont de Nouzonville,49.816503 ,4.740041,NOUZONVILLE,"1 Rue du Pont, 08700 Nouzonville, France",19,26
